ImporterCode,ExporterCode,Year,GrossImports_1000USD,ImporterName,ExporterName,contig,comlang_off,dist,lndist,ExporterGDP,ImporterGDP,pta,International
ARE,SAU,2017,6739881.496,United Arab Emirates,Saudi Arabia,1,1,774.5853,6.652327789,688586.0944,385605.5069,0,1
ARE,LAO,2017,22555.205,United Arab Emirates,Lao PDR,0,0,5029.932,8.523161744,17071.16208,385605.5069,0,1
ARE,THA,2017,3677136.835,United Arab Emirates,Thailand,0,0,4967.796,8.51073156,456356.9614,385605.5069,0,1
ARE,BRN,2017,446.019,United Arab Emirates,Brunei,0,0,6813.557,8.826669583,12128.10486,385605.5069,0,1
ARE,DEU,2017,11512350.48,United Arab Emirates,Germany,0,0,4641.608,8.442816137,3690849.153,385605.5069,0,1
ARE,USA,2017,22928651.22,United Arab Emirates,United States,0,0,11359.12,9.337776224,19479620.06,385605.5069,0,1
ARE,PHL,2017,786329.643,United Arab Emirates,Philippines,0,0,7004.581,8.854319643,328480.8671,385605.5069,0,1
ARE,VNM,2017,9712195.28,United Arab Emirates,Vietnam,0,0,5265.521,8.568935375,281353.4022,385605.5069,0,1
ARE,MMR,2017,79696.614,United Arab Emirates,Myanmar,0,0,4415.291,8.392829023,61449.39206,385605.5069,0,1
ARE,MYS,2017,2118515.08,United Arab Emirates,Malaysia,0,0,5594.997,8.629628085,319112.1365,385605.5069,0,1
ARE,IDN,2017,1725911.858,United Arab Emirates,Indonesia,0,0,6613.254,8.796831096,1015618.743,385605.5069,0,1
ARE,KHM,2017,216229.22,United Arab Emirates,Cambodia,0,0,5501.911,8.612850765,22177.20051,385605.5069,0,1
ARE,IND,2017,19992933.48,United Arab Emirates,India,0,0,2312.871,7.746244889,2651472.946,385605.5069,0,1
ARE,CHN,2017,46951653.47,United Arab Emirates,China,0,0,5966.427,8.693903535,12310409.37,385605.5069,0,1
ARE,SGP,2017,1815281.144,United Arab Emirates,Singapore,0,0,5904.872,8.683533052,343193.3522,385605.5069,0,1
ARE,ARE,2017,0,United Arab Emirates,United Arab Emirates,0,1,109,4.691347882,41502.16,41502.16,1,0
BRN,LAO,2017,0.861,Brunei,Lao PDR,0,0,1977.488,7.589582631,17071.16208,12128.10486,1,1
BRN,THA,2017,95132.988,Brunei,Thailand,0,0,1864.909,7.530967537,456356.9614,12128.10486,1,1
BRN,SAU,2017,2169.163,Brunei,Saudi Arabia,0,0,7585.283,8.933965202,688586.0944,12128.10486,0,1
BRN,VNM,2017,15176.916,Brunei,Vietnam,0,0,2042.273,7.621818682,281353.4022,12128.10486,1,1
BRN,ARE,2017,5335.737,Brunei,United Arab Emirates,0,0,6813.557,8.826669583,385605.5069,12128.10486,0,1
BRN,IDN,2017,72931.658,Brunei,Indonesia,0,0,1533.213,7.335120812,1015618.743,12128.10486,1,1
BRN,PHL,2017,8977.578,Brunei,Philippines,0,0,1262.339,7.140721628,328480.8671,12128.10486,1,1
BRN,USA,2017,292167.975,Brunei,United States,0,0,15005.51,9.616172746,19479620.06,12128.10486,0,1
BRN,IND,2017,50492.232,Brunei,India,0,0,4773.091,8.470749382,2651472.946,12128.10486,1,1
BRN,KHM,2017,7319.516,Brunei,Cambodia,0,0,1331.028,7.193706855,22177.20051,12128.10486,1,1
BRN,MYS,2017,562431.634,Brunei,Malaysia,1,1,1486.397,7.30411035,319112.1365,12128.10486,1,1
BRN,MMR,2017,447.627,Brunei,Myanmar,0,0,2438.079,7.798965713,61449.39206,12128.10486,1,1
BRN,SGP,2017,569216.768,Brunei,Singapore,0,0,1300.326,7.170370281,343193.3522,12128.10486,1,1
BRN,CHN,2017,641859.928,Brunei,China,0,0,3896.4,8.267808329,12310409.37,12128.10486,0,1
BRN,DEU,2017,171796.563,Brunei,Germany,0,0,10355.61,9.245283681,3690849.153,12128.10486,0,1
BRN,BRN,2017,5,Brunei,Brunei,0,1,29,3.36729583,1400.66,1400.66,1,0
CHN,SAU,2017,31761873.27,China,Saudi Arabia,0,0,6605.185,8.795610226,688586.0944,12310409.37,0,1
CHN,IND,2017,16345370.68,China,India,1,0,3785.013,8.2388046,2651472.946,12310409.37,0,1
CHN,KHM,2017,1007581.678,China,Cambodia,0,0,3351.089,8.117040647,22177.20051,12310409.37,0,1
CHN,MYS,2017,54426139.44,China,Malaysia,0,1,4355.047,8.379090681,319112.1365,12310409.37,0,1
CHN,SGP,2017,34249623.69,China,Singapore,0,1,4484.657,8.408417294,343193.3522,12310409.37,0,1
CHN,ARE,2017,12311158.31,China,United Arab Emirates,0,0,5966.427,8.693903535,385605.5069,12310409.37,0,1
CHN,THA,2017,41596082.91,China,Thailand,0,0,3303.891,8.102856144,456356.9614,12310409.37,0,1
CHN,PHL,2017,19239177.21,China,Philippines,0,0,2850.319,7.955186197,328480.8671,12310409.37,0,1
CHN,IDN,2017,28574305.51,China,Indonesia,0,0,5220.879,8.560421058,1015618.743,12310409.37,0,1
CHN,BRN,2017,351809.713,China,Brunei,0,0,3896.4,8.267808329,12128.10486,12310409.37,0,1
CHN,MMR,2017,4526347.998,China,Myanmar,1,0,3234.079,8.081499468,61449.39206,12310409.37,0,1
CHN,DEU,2017,96940109.12,China,Germany,0,0,7363.33,8.904267555,3690849.153,12310409.37,0,1
CHN,LAO,2017,1604997.325,China,Lao PDR,1,0,2778.652,7.929721197,17071.16208,12310409.37,0,1
CHN,USA,2017,154441855.9,China,United States,0,0,11159.25,9.320024029,19479620.06,12310409.37,0,1
CHN,VNM,2017,50374616.98,China,Vietnam,1,0,2330.799,7.753966406,281353.4022,12310409.37,0,1
CHN,CHN,2017,125261548,China,China,0,1,1163,7.058758153,177300,177300,1,0
DEU,ARE,2017,1219956.409,Germany,United Arab Emirates,0,0,4641.608,8.442816137,385605.5069,3690849.153,0,1
DEU,IND,2017,9674712.147,Germany,India,0,0,5785.567,8.663121647,2651472.946,3690849.153,0,1
DEU,PHL,2017,4077084.817,Germany,Philippines,0,0,9871.489,9.197405982,328480.8671,3690849.153,0,1
DEU,SAU,2017,919080.254,Germany,Saudi Arabia,0,0,4178.845,8.337790172,688586.0944,3690849.153,0,1
DEU,BRN,2017,1322.685,Germany,Brunei,0,0,10355.61,9.245283681,12128.10486,3690849.153,0,1
DEU,CHN,2017,116477747.1,Germany,China,0,0,7363.33,8.904267555,12310409.37,3690849.153,0,1
DEU,MMR,2017,639744.438,Germany,Myanmar,0,0,8055.951,8.994166352,61449.39206,3690849.153,0,1
DEU,KHM,2017,1778284.049,Germany,Cambodia,0,0,9096.893,9.115688206,22177.20051,3690849.153,0,1
DEU,USA,2017,71755577.41,Germany,United States,0,0,6717.542,8.812477593,19479620.06,3690849.153,0,1
DEU,VNM,2017,10947626.74,Germany,Vietnam,0,0,8337.11,9.028471913,281353.4022,3690849.153,0,1
DEU,IDN,2017,4465374.164,Germany,Indonesia,0,0,10783.79,9.28579936,1015618.743,3690849.153,0,1
DEU,SGP,2017,7358166.119,Germany,Singapore,0,0,9932.874,9.203605141,343193.3522,3690849.153,0,1
DEU,THA,2017,6892242.096,Germany,Thailand,0,0,8612.231,9.060938681,456356.9614,3690849.153,0,1
DEU,MYS,2017,9805060.265,Germany,Malaysia,0,0,9623.965,9.172011621,319112.1365,3690849.153,0,1
DEU,LAO,2017,89786.82,Germany,Lao PDR,0,0,8386.077,9.03432811,17071.16208,3690849.153,0,1
DEU,DEU,2017,0,Germany,Germany,0,1,108,4.682131227,4072190,4072190,1,0
IDN,PHL,2017,859298.194,Indonesia,Philippines,0,0,2792.088,7.934544982,328480.8671,1015618.743,1,1
IDN,SGP,2017,16888495.76,Indonesia,Singapore,0,0,886.1407,6.786875742,343193.3522,1015618.743,1,1
IDN,MMR,2017,145723.021,Indonesia,Myanmar,0,0,2803.964,7.938789409,61449.39206,1015618.743,1,1
IDN,IND,2017,4048500.734,Indonesia,India,0,0,4998.229,8.516838929,2651472.946,1015618.743,1,1
IDN,ARE,2017,2080212.059,Indonesia,United Arab Emirates,0,0,6613.254,8.796831096,385605.5069,1015618.743,0,1
IDN,MYS,2017,8858197.446,Indonesia,Malaysia,1,0,1174.196,7.068338937,319112.1365,1015618.743,1,1
IDN,USA,2017,8150185.485,Indonesia,United States,0,0,16371.12,9.703274086,19479620.06,1015618.743,0,1
IDN,BRN,2017,42518.982,Indonesia,Brunei,0,0,1533.213,7.335120812,12128.10486,1015618.743,1,1
IDN,LAO,2017,11891.215,Indonesia,Lao PDR,0,0,2721.996,7.909120714,17071.16208,1015618.743,1,1
IDN,VNM,2017,3228760.343,Indonesia,Vietnam,0,0,3023.314,8.01410886,281353.4022,1015618.743,1,1
IDN,THA,2017,9281606.247,Indonesia,Thailand,0,0,2316.466,7.747798027,456356.9614,1015618.743,1,1
IDN,CHN,2017,35766807.5,Indonesia,China,0,0,5220.879,8.560421058,12310409.37,1015618.743,0,1
IDN,SAU,2017,3167022.124,Indonesia,Saudi Arabia,0,0,7340.407,8.90114957,688586.0944,1015618.743,0,1
IDN,DEU,2017,3538066.755,Indonesia,Germany,0,0,10783.79,9.28579936,3690849.153,1015618.743,0,1
IDN,KHM,2017,28327.22,Indonesia,Cambodia,0,0,1982.272,7.591998941,22177.20051,1015618.743,1,1
IDN,IDN,2017,47723,Indonesia,Indonesia,0,1,520,6.253828812,11900,11900,1,0
IND,KHM,2017,47882.377,India,Cambodia,0,0,3445.198,8.144736656,22177.20051,2651472.946,1,1
IND,DEU,2017,12665121.18,India,Germany,0,0,5785.567,8.663121647,3690849.153,2651472.946,0,1
IND,SGP,2017,7235416.297,India,Singapore,0,1,4154.034,8.331835189,343193.3522,2651472.946,1,1
IND,LAO,2017,249856.463,India,Lao PDR,0,0,2846.594,7.953878471,17071.16208,2651472.946,1,1
IND,CHN,2017,71922747.82,India,China,1,0,3785.013,8.2388046,12310409.37,2651472.946,0,1
IND,VNM,2017,4141951.314,India,Vietnam,0,0,3006.763,8.008619364,281353.4022,2651472.946,1,1
IND,THA,2017,6456382.157,India,Thailand,0,0,2919.706,7.979238205,456356.9614,2651472.946,1,1
IND,USA,2017,24086156.63,India,United States,0,1,12059.81,9.397633716,19479620.06,2651472.946,0,1
IND,IDN,2017,16235402.96,India,Indonesia,0,0,4998.229,8.516838929,1015618.743,2651472.946,1,1
IND,ARE,2017,23115459.71,India,United Arab Emirates,0,0,2312.871,7.746244889,385605.5069,2651472.946,0,1
IND,BRN,2017,595323.572,India,Brunei,0,0,4773.091,8.470749382,12128.10486,2651472.946,1,1
IND,PHL,2017,711113.13,India,Philippines,0,1,4756.725,8.467314685,328480.8671,2651472.946,1,1
IND,SAU,2017,21086845.71,India,Saudi Arabia,0,0,3053.153,8.023930106,688586.0944,2651472.946,0,1
IND,MYS,2017,8901929.511,India,Malaysia,0,0,3842.43,8.253860258,319112.1365,2651472.946,1,1
IND,MMR,2017,738039.291,India,Myanmar,1,0,2344.082,7.759649133,61449.39206,2651472.946,1,1
IND,IND,2017,0,India,India,0,1,682,6.525029658,31800,31800,1,0
KHM,MMR,2017,2252.39,Cambodia,Myanmar,0,0,1107.069,7.009471261,61449.39206,22177.20051,1,1
KHM,CHN,2017,5286750.411,Cambodia,China,0,0,3351.089,8.117040647,12310409.37,22177.20051,0,1
KHM,PHL,2017,17372.19,Cambodia,Philippines,0,0,1771.795,7.479748436,328480.8671,22177.20051,1,1
KHM,BRN,2017,1044.917,Cambodia,Brunei,0,0,1331.028,7.193706855,12128.10486,22177.20051,1,1
KHM,THA,2017,2354159.633,Cambodia,Thailand,1,0,535.9692,6.284076697,456356.9614,22177.20051,1,1
KHM,MYS,2017,285517.826,Cambodia,Malaysia,0,0,1005.151,6.912893058,319112.1365,22177.20051,1,1
KHM,SGP,2017,609910.675,Cambodia,Singapore,0,0,1152.419,7.04961849,343193.3522,22177.20051,1,1
KHM,USA,2017,196783.055,Cambodia,United States,0,0,14415.25,9.576041953,19479620.06,22177.20051,0,1
KHM,LAO,2017,4493.999,Cambodia,Lao PDR,1,0,753.4552,6.62466956,17071.16208,22177.20051,1,1
